"Text","Author","Likes"
"the real revolution is the aspect ratio of this video","@matteframe","15K"
"Paleolithic emotions, medeival institutions and god-like technologies...what could go wrong?","@jacquelinecane4663","7K"
"RIGHT NOW there are people who lived without the internet and people who were born with it. That''s never going to happen again. We knew the world before the internet. It changed things forever. But these two people will never live together again after we pass away. Those who knew the world before.","@michaelpipkin9942","5.4K"
"never seen someone so openly excited about the incoming dystopia.","@prestonflood5246","5.2K"
"Wow, this one really shakes you up. Leyden’s point that 2025 isn’t just another year but a junction where tech, society and our possibilities all collide hit me. It’s like you realise you’re not waiting for change — you’re in the change. Reading They Taught You to Be Nice Not Strong by Orrin Conway helped me see that when everything shifts around you, you’ve got to build the inner stuff now so you don’t get swept away.","@jasWiss9","3.1K"
"We''re not moving toward a digital democracy, we''re moving toward authoritarianism.","@jpleonard2000","2.4K"
"When I see a video this well produced, it gives me pause to consider who is funding it''s message.","","1.7K"
"In reality, the top 0.1% and their corporations will ultimately be the new global leaders.  Sounds dystopian to me.","@steevf","1.4K"
"I''m 67, and as a child, my dad took us down to his workplace, to see the new ""computer"", which took up a very large room.  Now, we all walk around with one in our hands.  Unimaginable.  Sometimes, I wish we could go back to simpler times, as I guess most old people do.","@annmc-t7p","1K"
"The problem is we keep evolving technology while standing still as human beings. It’s been a while since humans have taken a step towards evolving as a race instead of trying to invent more distractions….","@knightofAK","1K"
"Why did we stop taxing the rich at 90%?","@unimpressedsquidward3059","987"
"""Come back next year to see why 2026 will be the actual single most pivotal year in our lifetime.""","@dustinbloodgood","863"
"Important to remember that this is the future as seen by a futurist. These are the same guys who predicted Mars colonies and flying cars by 2000. We love to predict the future, and we are usually wrong.","@MrGringissimo","799"
"He reminds me of people so excited about the promise of the internet in the mid 90''s. All the wonderful boon to humanity it would be having everyone connected. The best ideas would rise to the top and be accepted and understood by everyone because information was free and everyone could have access to all the information without barriers. Competition would ensure misinformation could be easily identified and dismissed. The economic benefit would be staggering. Here we are, 30 years on. Very much a mixed bag.","@SteveBonario","606"
"This video is a shining example of why the SEC requires the disclaimer ""past performance is not indicative of future results"".","@SeanofAllTrades","598"
"Okay. As if AI won’t be a tool that transfers all power and wealth to an elite minority. Sure. Keep dreaming.","@bardactic3302","524"
"we should really stop saying ""the top 1%"" when referring to people worth $100B+. Someone worth like $10m (a ""1%''er"") is not in the same universe as someone who is worth $1B. And someone who is worth $1B is not in the same universe as someone who is worth $100B.  When people talk about the top 1%, they''re actually talking about the top 0.0001% usually.","@particle_wave7614","477"
"This video was a LOT more optimistic than what I’m imagining …","@AnonymousSpirit","404"
"Its incredible that he says all of this in a positive light with a smile on his face.  That was terrifying","@DillonGlenn-g7z","357"
"Making predictions with confidence is a surefire way to sound untrustworthy.","@jacquesrosondil","344"
"4:10 ""we had to resolve this political tension in america, and in the world"". My man a world war of unimaginable proportions is not something you can just refer to as simply resolving political tension","@ProfessorHenrique2024","340"
"He’s talking about the Fourth Turning, as detailed by Neil Howe and William Strauss. The Fourth Turning is a time when old clashes with new and there are massive conflicts politically and socially. Frequently that means war and the last few times it was global conflict. Hopefully not this time.","@Fabulist","294"
"May be some truth in this but agree with alot of the comments, humanity/society hasn''t evolved sufficiently enough to deal with the next epoch. Corporations, extremism and partisan untrustworthy governments are causing the fractures in society which I don''t think the majority of  human beings can come back from.","@Waisalik","272"
"I''m SO GRATEFUL I was born in the 60''s- BEFORE the internet & cell phones. So I got to enjoy what life was like before this hot mess.","@OneRulePlayNice","271"
"I got my life back after ditching my smartphone. The rewiring of our brains has been drastic for humanity. The most successful experiment in social engineering and social control ever conducted.","@MartianTom","245"
"Missed opportunity to do ABCs of the new age: AI, Bioengineering, Clean energy.","@thisguyispeculiar","239"
"""GUYS JUST TRUST ME BRO AI IS THE FUTURE BRO YOUR WATER BILL IS DOUBLING AND YOUR PARENTS HAVE NO HEALTHCARE BUT PLEASE BRO HERE’S A HALLUCINATED PICTURE OF A STEAMPUNK BRAZILLIAN FAVELLA IT''S SO COOL BRO""","@lynxia1464","214"
